rch_site,scenario,dx,dy,Transient,Stationary
2,2,25.0,-25.0,989512.8631591797,1307167.5109863281
2,30,25.0,-25.0,889911.9567871094,1541786.0412597656
2,31,25.0,-25.0,911715.0115966797,1653654.6325683594
2,32,25.0,-25.0,3402982.7880859375,6159046.0205078125
2,33,25.0,-25.0,479202.2705078125,994868.2403564453
2,34,25.0,-25.0,929095.6115722656,1723760.2233886719
2,35,25.0,-25.0,601561.9659423828,1139240.493774414
2,36,25.0,-25.0,540916.2521362305,1104783.5540771484
2,37,25.0,-25.0,351088.75274658203,497559.70001220703
2,38,25.0,-25.0,2027031.8603515625,2719644.775390625
2,39,25.0,-25.0,655803.1463623047,898865.2038574219
2,3,25.0,-25.0,699393.2342529297,1163279.5715332031
2,40,25.0,-25.0,1378920.8984375,1867260.7421875
2,41,25.0,-25.0,1111191.2536621094,1823681.7932128906
2,42,25.0,-25.0,2326216.583251953,3808027.6489257812
2,43,25.0,-25.0,4023937.98828125,6642418.212890625
2,44,25.0,-25.0,2515228.271484375,4477641.6015625
2,45,25.0,-25.0,1062486.2670898438,2053294.5251464844
2,46,25.0,-25.0,1149159.6984863281,1909545.1354980469
2,47,25.0,-25.0,1240009.765625,2031283.7219238281
2,48,25.0,-25.0,911991.5771484375,1800871.7346191406
2,49,25.0,-25.0,479350.20446777344,763229.7515869141
2,4,25.0,-25.0,1883224.3347167969,3467982.177734375
2,50,25.0,-25.0,2418329.9255371094,3587031.8603515625
2,51,25.0,-25.0,239408.37860107422,380118.90411376953
2,52,25.0,-25.0,820058.5174560547,977341.1560058594
2,53,25.0,-25.0,1530654.6020507812,2023448.1811523438
2,54,25.0,-25.0,153462.21923828125,242083.28247070312
2,55,25.0,-25.0,1481876.9836425781,2401416.9311523438
2,56,25.0,-25.0,689090.4998779297,1149443.588256836
2,57,25.0,-25.0,10527.558326721191,20194.98586654663
2,58,25.0,-25.0,1236654.8156738281,1920537.109375
2,59,25.0,-25.0,1540418.0908203125,2396876.983642578
2,5,25.0,-25.0,1679263.4582519531,3359921.875
